$NML dly averaged qdt year 2005,
",,,",
Jday,qdt
1,37.92971497
2,80.07900941
3,38.7742858
4,18.91608164
5,-17.06286698
6,7.829796625
7,97.79752498
8,111.9076744
9,99.6914563
10,104.7683906
11,118.7305669
12,11.86166289
13,27.28252285
14,-11.80262559
15,11.86001294
16,17.50980869
17,-2.461971867
18,9.003213032
19,9.979370327
20,9.46060965
21,9.814328143
22,17.42050462
23,8.159096203
24,-21.02062082
25,10.76675679
26,30.69837187
27,29.30846147
28,46.82429599
29,26.9631944
30,18.7021581
31,13.60717589
32,16.49536521
33,11.9268883
34,-30.54548133
35,12.03824775
36,39.53724202
37,10.93293777
38,45.09587258
39,2.408016936
40,-7.324412405
41,-46.11127378
42,9.790215028
43,12.31271963
44,8.957830913
45,12.35292397
46,30.86588014
47,27.34988827
48,22.37299001
49,27.16216396
50,31.74568175
51,72.21156323
52,41.19232191
53,32.52666992
54,7.47803064
55,20.98960485
56,16.4812365
57,18.05130646
58,23.66189639
59,-8.023214282
60,6.700762179
61,30.78363146
62,11.40362338
63,20.93265428
64,16.94040532
65,16.62025878
66,14.9190501
67,-16.61829851
68,-9.827161875
69,16.58584568
70,14.98341157
71,6.089942225
72,21.7865615
73,14.27774788
74,-27.95693903
75,11.50296504
76,9.890546022
77,8.110681873
78,23.83550064
79,26.17587829
80,24.58799021
81,104.3831144
82,155.7311558
83,26.45978984
84,-0.3865471
85,25.27700368
86,31.88990503
87,59.93731906
88,32.51554309
89,19.59816591
90,20.53230029
91,7.218971735
92,6.96947062
93,-8.006820389
94,0.245517676
95,18.17444731
96,14.40599019
97,7.51214408
98,34.32048904
99,28.56861995
100,26.97168161
101,6.44422348
102,0.366043716
103,18.43077138
104,-1.274745547
105,20.51339626
106,1.220415382
107,22.60039928
108,71.26742057
109,15.99844676
110,-72.68961427
111,19.59385557
112,45.50797829
113,6.98174992
114,-32.79456013
115,-18.89991473
116,-17.60141667
117,15.66379276
118,64.434444
119,10.19279222
120,17.58298758
121,9.10199274
122,3.645542618
123,18.06214029
124,3.241166005
125,30.38429627
126,15.58715395
127,18.21591443
128,18.19297414
129,27.24929997
130,3.992963523
131,69.89726621
132,2.643333565
133,-47.05859324
134,16.53633939
135,85.28409669
136,-1.08129981
137,-12.53796557
138,6.069799
139,-133.4824811
140,2.87032323
141,37.46469226
142,32.75251739
143,0.00657815
144,11.02617663
145,3.05777451
146,-13.42307198
147,0.84357648
148,13.44582407
149,14.60250612
150,-14.0925171
151,36.13023166
152,-15.67259262
153,19.46082602
154,10.4717366
155,25.97585464
156,-21.94292729
157,5.72873664
158,15.89883221
159,-39.10862449
160,-3.797349391
161,16.6761569
162,15.95242961
163,-1.78440586
164,7.25877896
165,-25.78871343
166,-25.67206035
167,8.31384945
168,-28.10806929
169,-32.95976391
170,-19.85582873
171,-25.56521143
172,-21.36625318
173,-33.02220233
174,3.67239353
175,1.70606387
176,-9.55960866
177,-50.41203854
178,51.12845564
179,-48.75940492
180,16.08389906
181,35.50332337
182,-1.33683592
183,-14.46140549
184,-0.04888184
185,64.0966606
186,0.567211836
187,-13.54223101
188,-15.36636704
189,-32.82262577
190,-24.18230524
191,0.947345227
192,-0.902920587
193,-0.489834977
194,-4.95448577
195,2.218748122
196,11.76679653
197,5.964565748
198,14.91031306
199,23.1155577
200,7.96032381
201,8.176424275
202,-5.460743506
203,-52.6114733
204,-4.279551541
205,0.290364443
206,20.5526724
207,18.90473789
208,-6.496743525
209,-2.785572203
210,-0.86384782
211,14.16070606
212,34.56399303
213,0.622065253
214,-37.10699725
215,-0.603800311
216,36.11685941
217,33.22571497
218,-3.288093366
219,-15.60018087
220,-0.879191978
221,-3.468521144
222,24.60921358
223,-5.710528662
224,-6.063910606
225,2.513932736
226,14.0860633
227,44.34028274
228,-18.10718671
229,-0.051417264
230,-0.551826986
231,11.48739802
232,18.79045357
233,-13.88476726
234,0.015938292
235,-0.935154764
236,6.877842458
237,17.71169385
238,5.94479107
239,19.72288552
240,-26.24125476
241,-2.619384217
242,-2.431152273
243,0.24388245
244,-1.370396717
245,-0.490194226
246,36.33583911
247,-8.722783115
248,-21.72649811
249,0.879484125
250,6.7237983
251,24.35361358
252,22.55682996
253,20.18264524
254,-7.437064486
255,-82.42701391
256,4.76210692
257,19.22716109
258,21.37023053
259,20.71621386
260,21.01376109
261,20.75607081
262,-2.396153089
263,8.105266356
264,-28.82674337
265,1.089925384
266,-0.239458644
267,-1.658733644
268,-1.208360033
269,-39.97368058
270,-0.257757255
271,-9.39660615
272,14.70192301
273,1.097053569
274,10.80556607
275,9.556978569
276,-1.765186708
277,-2.255900597
278,-1.767978375
279,-5.071363097
280,-2.626924208
281,3.171379958
282,1.84121468
283,6.781393847
284,7.812951894
285,-8.932136995
286,-10.30132838
287,-10.14001587
288,2.266693847
289,-9.87637282
290,-0.204316361
291,1.78668172
292,-0.707777142
293,2.607539525
294,-12.53026881
295,0.636050878
296,65.33947359
297,0.450297198
298,0.311486087
299,2.268128856
300,31.46177302
301,1.262906347
302,-8.592245042
303,-17.31231865
304,-17.7897881
305,-16.70942559
306,18.14068968
307,2.685716069
308,6.192257736
309,2.935248014
310,3.655303569
311,2.159081347
312,4.218900792
313,8.643025792
314,1.06136468
315,4.056004958
316,0.09961468
317,-26.86411448
318,-17.7211492
319,2.396588292
320,1.275243847
321,1.262438292
322,70.36706468
323,0.038356347
324,1.234511903
325,-5.717846431
326,-5.683764486
327,-17.11276339
328,-0.827809217
329,-12.81473978
330,-2.748734217
331,-11.34915088
332,-16.96003005
333,8.152189394
334,5.350354672
335,27.22209246
336,27.07130802
337,-16.10242311
338,-15.63873144
339,2.14699495
340,1.463392172
341,1.177066069
342,3.77873968
343,3.196291069
344,9.664841069
345,0.358970236
346,-8.789315875
347,-8.336907542
348,-49.03710476
349,0.184635514
350,24.36629801
351,40.19462441
352,34.95771386
353,22.21150941
354,-1.782004764
355,12.33423968
356,36.30236775
357,35.13764414
358,12.05468858
359,35.46901775
360,69.5628722
361,17.40733082
362,31.30284857
363,-9.657053413
364,26.11932104
365,416.8383096
366,10.85668477
