$Tulloch distributed tributary year 2005 YC 04/11/2023,
",,,",
Jday,qdt
1,5.15361564
2,5.373874454
3,19.34214392
4,5.606684679
5,5.776581533
6,5.719947064
7,5.550048571
8,29.69509982
9,33.26909523
10,23.51366705
11,30.38503881
12,23.79015237
13,5.578368755
14,5.804900735
15,4.8167989
16,3.911431075
17,3.456114824
18,3.224114824
19,3.108114824
20,2.992113841
21,2.445165086
22,2.560165413
23,2.820481993
24,2.304567608
25,6.031428126
26,5.748268559
27,5.57873584
28,20.72719691
29,5.238568164
30,5.323517902
31,5.408467313
32,5.230100144
33,3.061415084
34,2.48514975
35,2.340833499
36,2.770496057
37,3.467761679
38,2.451453249
39,2.08152544
40,2.32759802
41,2.800785741
42,2.642978351
43,2.522158864
44,2.780389966
45,2.87858216
46,7.787047525
47,8.917655912
48,6.589172401
49,7.386964038
50,8.487962727
51,15.8756987
52,6.22964877
53,6.342914104
54,5.502231339
55,3.627179438
56,3.570547262
57,3.711856632
58,5.833218625
59,6.116383435
60,7.334352636
61,6.79597839
62,5.191344904
63,5.975398115
64,5.317295625
65,4.676295297
66,4.078979046
67,3.853978718
68,6.767664105
69,-2.138877956
70,-16.59941446
71,17.8402297
72,0.328683651
73,-5.622021515
74,8.606014955
75,-29.93770369
76,27.27980558
77,-0.968933493
78,-17.16692624
79,6.229694653
80,17.25425455
81,17.23157416
82,26.11421765
83,8.183577629
84,15.63075115
85,15.57411865
86,15.57411439
87,11.9140041
88,9.41789386
89,6.77692367
90,4.685597524
91,4.122913776
92,3.712912793
93,3.716057443
94,6.34729108
95,7.76168106
96,10.11137789
97,-5.96469149
98,3.70236849
99,-11.36674985
100,19.26956762
101,2.596980488
102,-1.308463904
103,22.70990058
104,-10.2887461
105,0.892692582
106,3.710030779
107,32.70567275
108,-0.182875286
109,-22.30145148
110,1.781607726
111,-2.054111213
112,-4.378452722
113,8.083185523
114,3.298952866
115,2.272441545
116,0.565525431
117,0.929723428
118,1.699279238
119,2.919692985
120,1.814078636
121,5.254318984
122,-16.96161694
123,15.84511164
124,0.59917146
125,-33.15885077
126,23.90667607
127,-11.1201498
128,2.717177021
129,6.200127752
130,-0.844736651
131,-0.950293037
132,-1.526275893
133,1.131396411
134,-2.235009476
135,-6.216648541
136,-1.314453815
137,8.574078662
138,-11.83205422
139,-0.592503516
140,-6.36739424
141,-3.61691767
142,-3.664597912
143,-13.64033454
144,0.10504861
145,10.69992348
146,0.021237762
147,-3.130307898
148,-9.0382768
149,-3.676238932
150,-12.9560254
151,2.654675054
152,7.223084829
153,-3.955203271
154,4.694624045
155,-26.30377561
156,17.35541112
157,-1.672794508
158,-1.734483702
159,-7.007211223
160,8.145704532
161,-8.895386503
162,-6.182912093
163,1.863001505
164,-4.759551929
165,-5.487195138
166,1.603398776
167,-13.32293682
168,-0.142753905
169,1.310824275
170,-2.885776616
171,22.39251138
172,28.40152451
173,18.51674893
174,-3.149389466
175,-4.280520619
176,-1.859976405
177,-1.527395315
178,5.054503844
179,-4.528280856
180,-16.50618442
181,1.271590794
182,-0.786561001
183,-1.979796907
184,-10.85823029
185,0.60290553
186,-1.520746058
187,-5.735285866
188,-4.032745961
189,-0.183571982
190,-3.830036146
191,-4.470549989
192,-0.431281018
193,-6.746420116
194,13.11532517
195,-22.50577475
196,10.17980897
197,-9.688288816
198,-3.22218781
199,-7.437301212
200,-2.021087658
201,-6.925772217
202,-0.281407455
203,1.013413632
204,-8.404119866
205,-0.747900166
206,3.768459526
207,-6.492810229
208,-6.055021015
209,-2.207511038
210,0.534086376
211,1.149181834
212,-6.123759175
213,-4.738311873
214,-6.452216069
215,-4.991244404
216,-3.95381557
217,-44.17102755
218,-3.786283551
219,-4.466992677
220,-5.328235366
221,-0.38699489
222,-8.633016804
223,-0.92459641
224,-2.158914079
225,-3.310680561
226,-3.800271116
227,-0.956864739
228,-3.892792707
229,-2.031750948
230,-9.232399804
231,-0.369298339
232,-1.774517766
233,-5.46044134
234,-3.270246928
235,-9.78339095
236,0.516778229
237,2.26532176
238,-2.916816335
239,-5.13188966
240,-3.423766823
241,-10.86881329
242,0.732703617
243,1.157557278
244,8.958657794
245,-15.47192018
246,-10.05827906
247,0.569873454
248,0.209670649
249,-3.972226501
250,-0.136870677
251,-3.843993346
252,-6.690975991
253,-0.523183845
254,42.07844414
255,-41.17570178
256,-6.09198919
257,-1.8784352
258,-1.641574808
259,-1.909937211
260,-1.955559525
261,-1.801577745
262,-0.619443199
263,-9.035346563
264,-0.374054803
265,-1.607542698
266,-0.614887953
267,-0.706963537
268,0.935803048
269,3.691747815
270,-3.454544087
271,7.073242602
272,-14.05567076
273,5.94527313
274,-5.889859977
275,-0.199856348
276,-1.235485884
277,-0.998169611
278,-0.593227872
279,4.619139713
280,-1.283684275
281,-5.01342634
282,3.746041906
283,-5.863647309
284,-1.574479381
285,-0.402724249
286,-1.004150476
287,-3.06096524
288,-9.591060744
289,9.882485868
290,-5.48981488
291,2.731429535
292,-9.98767278
293,-5.554772261
294,4.54512555
295,1.074630977
296,1.28171113
297,7.026055186
298,-3.506596386
299,-5.955483922
300,-0.759959738
301,12.62916817
302,-13.8882991
303,10.24352389
304,-11.26759634
305,9.740902643
306,-11.62762491
307,10.02642815
308,-12.22775571
309,10.19396824
310,-9.444972955
311,2.255887161
312,-16.39883935
313,10.71546907
314,-6.787717422
315,7.370572257
316,-8.019491573
317,10.42050251
318,-9.021809692
319,10.30723489
320,-14.83080909
321,10.27891765
322,-9.81585379
323,-6.685071788
324,10.25060074
325,-11.42809785
326,9.259519483
327,-9.637074858
328,10.30723587
329,-8.85718874
330,-4.738308596
331,10.16565133
332,-10.40045853
333,10.22228515
334,-11.62688189
335,-9.449480142
336,9.735004478
337,-11.86228769
338,9.284574334
339,-23.89801017
340,9.967436261
341,9.995754152
342,10.1385156
343,-8.81117561
344,-11.09302127
345,10.22228056
346,-12.63863456
347,7.630901005
348,9.542687899
349,-20.33711904
350,16.25379291
351,-23.34348076
352,2.042400472
353,1.266100794
354,7.437818234
355,13.21203776
356,-8.211988957
357,7.386143426
358,-3.507417287
359,-0.273006814
360,4.313791944
361,15.0486753
362,7.157413501
363,-3.300087671
364,-2.953136389
365,26.81946159
366,0
